samhita	pada
tv;a.m sut;asya piit;aye sady;o v.rddh;o ajaayathaa.h ;indra jya;i.s.thyaaya sukrato	tv;am sut;asya piit;aye sady;a.h v.rddh;a.h ajaayathaa.h ;indra jya;i.s.thyaaya sukrato
;aa tvaa vi;santv aa;s;ava.h s;omaasa indra girva.na.h ;s;a.m te santu pr;acetase	;aa tvaa vi;santu aa;s;ava.h s;omaasa.h indra girva.na.h ;s;am te santu pr;acetase
m;aa no m;artaa abh;i druhan tan;uunaam indra girva.na.h ;ii;saano yavayaa vadh;am	m;aa na.h m;artaa.h abh;i druhan tan;uunaam indra girva.na.h ;ii;saana.h yavaya+ vadh;am
yu;nj;anty asya k;aamyaa h;arii v;ipak.sasaa r;athe ;s;o.naa dh.r.s.n;uu n.rv;aahasaa	yu;nj;anti asya k;aamyaa h;arii v;ipak.sasaa r;athe ;s;o.naa dh.r.s.n;uu n.rv;aahasaa
;aad ;aha svadh;aam ;anu p;unar garbhatv;am erir;e d;adhaanaa n;aama yaj;n;iyam	;aat ;aha svadh;aam ;anu p;unar garbhatv;am erir;e d;adhaanaa.h n;aama yaj;n;iyam
vii.d;u cid aarujatn;ubhir g;uhaa cid indra v;ahnibhi.h ;avinda usr;iyaa ;anu	vii.d;u cit aarujatn;ubhi.h g;uhaa cit indra v;ahnibhi.h ;avinda.h usr;iyaa.h ;anu
;indre.na s;a.m h;i d;.rk.sase sa.mjagmaan;o ;abibhyu.saa mand;uu samaan;avarcasaa	;indre.na s;am h;i d;.rk.sase sa.mjagmaan;a.h ;abibhyu.saa mand;uu samaan;avarcasaa
;ata.h parijmann ;aa gahi div;o vaa rocan;aad ;adhi s;am asminn .r;njate g;ira.h	;ata.h parijman ;aa gahi div;a.h vaa rocan;aat ;adhi s;am asmin .r;njate g;ira.h
it;o vaa saat;im ;iimahe div;o vaa p;aarthivaad ;adhi ;indram mah;o vaa r;ajasa.h	it;a.h vaa saat;im ;iimahe div;a.h vaa p;aarthivaat ;adhi ;indram mah;a.h vaa r;ajasa.h
;indram ;id gaath;ino b.rh;ad ;indram ark;ebhir ark;i.na.h ;indra.m v;aa.niir anuu.sata	;indram ;it gaath;ina.h b.rh;at ;indram ark;ebhi.h ark;i.na.h ;indram v;aa.nii.h anuu.sata
;indra v;aaje.su no 'va sah;asrapradhane.su ca ugr;a ugr;aabhir uut;ibhi.h	;indra v;aaje.su na.h ava sah;asrapradhane.su ca ugr;a.h ugr;aabhi.h uut;ibhi.h
;indra.m vay;am mahaadhan;a ;indram ;arbhe havaamahe y;uja.m v.rtr;e.su vajr;i.nam	;indram vay;am mahaadhan;e ;indram ;arbhe havaamahe y;ujam v.rtr;e.su vajr;i.nam
s;a no v.r.sann am;u.m car;u.m s;atraadaavann ;apaa v.rdhi asm;abhyam ;aprati.skuta.h	s;a na.h v.r.san am;um car;um s;atraadaavan ;apa+ v.rdhi asm;abhyam ;aprati.skuta.h
v;.r.saa yuuth;eva v;a.msaga.h k.r.s.t;iir iyarty ;ojasaa ;ii;saano ;aprati.skuta.h	v;.r.saa yuuth;aa iva v;a.msaga.h k.r.s.t;ii.h iyarti ;ojasaa ;ii;saana.h ;aprati.skuta.h
y;a ;eka;s car.sa.niin;aa.m v;asuunaam irajy;ati ;indra.h p;a;nca k.sitiin;aam	y;a.h ;eka.h car.sa.niin;aam v;asuunaam irajy;ati ;indra.h p;a;nca k.sitiin;aam
n;i y;ena mu.s.tihaty;ayaa n;i v.rtr;aa ru.n;adhaamahai tv;otaaso ny ;arvataa	n;i y;ena mu.s.tihaty;ayaa n;i v.rtr;aa ru.n;adhaamahai tv;otaasa.h n;i ;arvataa
;indra tv;otaasa ;aa vay;a.m v;ajra.m ghan;aa dadiimahi j;ayema s;a.m yudh;i sp;.rdha.h	;indra tv;otaasa.h ;aa vay;am v;ajram ghan;aa.h ! dadiimahi j;ayema s;am yudh;i sp;.rdha.h
vay;a.m ;s;uurebhir ;ast.rbhir ;indra tv;ayaa yuj;aa vay;am saasahy;aama p.rtanyat;a.h	vay;am ;s;uurebhi.h ;ast.rbhi.h ;indra tv;ayaa yuj;aa vay;am saasahy;aama p.rtanyat;a.h
samoh;e vaa y;a ;aa;sata n;aras tok;asya s;anitau v;ipraaso vaa dhiyaay;ava.h	samoh;e vaa y;e ;aa;sata n;ara.h tok;asya s;anitau v;ipraasa.h vaa dhiyaay;ava.h
ev;aa h;i te v;ibhuutaya uut;aya indra m;aavate sady;a;s cit s;anti daa;s;u.se	ev;a+ h;i te v;ibhuutaya.h uut;aya.h indra m;aavate sady;a.h cit s;anti daa;s;u.se
;indr;ehi m;atsy ;andhaso v;i;svebhi.h somap;arvabhi.h mah;aa;m abhi.s.t;ir ;ojasaa	;indra ;aa ihi m;atsi ;andhasa.h v;i;svebhi.h somap;arvabhi.h mah;aan abhi.s.t;i.h ;ojasaa
m;atsvaa su;sipra mand;ibhi st;omebhir vi;svacar.sa.ne s;acai.s;u s;avane.sv ;aa	m;atsva+ su;sipra mand;ibhi.h st;omebhi.h vi;svacar.sa.ne s;acaa e.s;u s;avane.su ;aa
;as.rgram indra te g;ira.h pr;ati tv;aam ;ud ahaasata ;ajo.saa v.r.sabh;am p;atim	;as.rgram indra te g;ira.h pr;ati tv;aam ;ut ahaasata ;ajo.saa.h v.r.sabh;am p;atim
asm;aan s;u t;atra coday;endra raay;e r;abhasvata.h t;uvidyumna y;a;sasvata.h	asm;aan s;u t;atra codaya ;indra raay;e r;abhasvata.h t;uvidyumna y;a;sasvata.h
asm;e dhehi ;sr;avo b.rh;ad dyumn;a.m sahasras;aatamam ;indra t;aa rath;iniir ;i.sa.h	asm;e dhehi ;sr;ava.h b.rh;at dyumn;am sahasras;aatamam ;indra t;aa.h rath;inii.h ;i.sa.h
v;asor ;indra.m v;asupati.m giirbh;ir g.r.n;anta .rgm;iyam h;oma g;antaaram uut;aye	v;aso.h ;indram v;asupatim giirbh;i.h g.r.n;anta.h .rgm;iyam h;oma g;antaaram uut;aye
sut;e-sute ny:okase b.rh;ad b.rhat;a ;ed ar;i.h ;indraaya ;suu.s;am arcati	sut;e-sute ny:okase b.rh;at b.rhat;e ;aa ;it ar;i.h ;indraaya ;suu.s;am arcati
y;at s;aano.h s;aanum ;aaruhad bh;uury ;aspa.s.ta k;artvam t;ad ;indro ;artha.m cetati yuuth;ena v.r.s.n;ir ejati	y;at s;aano.h s;aanum ;aa ;aruhat bh;uuri ;aspa.s.ta k;artvam t;at ;indra.h ;artham cetati yuuth;ena v.r.s.n;i.h ejati
;aa;srutkar.na ;srudh;ii h;ava.m n;uu cid dadhi.sva me g;ira.h ;indra st;omam im;am m;ama k.r.sv;aa yuj;a;s cid ;antaram	;aa;srutkar.na ;srudh;i+ h;avam n;u+ cit dadhi.sva me g;ira.h ;indra st;omam im;am m;ama k.r.sv;a+ yuj;a.h cit ;antaram
vidm;aa h;i tvaa v;.r.santama.m v;aaje.su havana;sr;utam v;.r.santamasya huumaha uut;i.m sahasras;aatamaam	vidm;a+ h;i tvaa v;.r.santamam v;aaje.su havana;sr;utam v;.r.santamasya huumahe uut;im sahasras;aatamaam
;aa t;uu na indra kau;sika mandasaan;a.h sut;am piba n;avyam ;aayu.h pr;a s;uu tira k.rdh;ii sahasras;aam ;.r.sim	;aa t;u+ na.h indra kau;sika mandasaan;a.h sut;am piba n;avyam ;aayu.h pr;a s;u+ tira k.rdh;i+ sahasras;aam ;.r.sim
;indra.m v;i;svaa aviiv.rdhan samudr;avyacasa.m g;ira.h rath;iitama.m rath;iinaa.m v;aajaanaa.m s;atpatim p;atim	;indram v;i;svaa.h aviiv.rdhan samudr;avyacasam g;ira.h rath;iitamam rath;iinaam v;aajaanaam s;atpatim p;atim
sakhy;e ta indra vaaj;ino m;aa bhema ;savasas pate tv;aam abh;i pr;a .nonumo j;etaaram ;aparaajitam	sakhy;e te indra vaaj;ina.h m;aa bhema ;savasa.h pate tv;aam abh;i pr;a nonuma.h j;etaaram ;aparaajitam
t;avaah;a.m ;suura raat;ibhi.h pr;aty aaya.m s;indhum aav;adan ;upaati.s.thanta girva.no vid;u.s .te t;asya kaar;ava.h	t;ava ah;am ;suura raat;ibhi.h pr;ati aayam s;indhum aav;adan ;upa ati.s.thanta girva.na.h vid;u.h te t;asya kaar;ava.h
maay;aabhir indra maay;ina.m tv;a.m ;s;u.s.nam ;avaatira.h vid;u.s .te t;asya m;edhiraas t;e.saa.m ;sr;avaa.msy ;ut tira	maay;aabhi.h indra maay;inam tv;am ;s;u.s.nam ;ava atira.h vid;u.h te t;asya m;edhiraa.h t;e.saam ;sr;avaa.msi ;ut tira
agn;im-agni.m h;aviimabhi.h s;adaa havanta vi;sp;atim havyav;aaham purupriy;am	agn;im-agnim h;aviimabhi.h s;adaa havanta vi;sp;atim havyav;aaham purupriy;am
;agne dev;aa;m ih;aa vaha jaj;naan;o v.rkt;abarhi.se ;asi h;otaa na ;ii.dya.h	;agne dev;aan ih;a ;aa vaha jaj;naan;a.h v.rkt;abarhi.se ;asi h;otaa na.h ;ii.dya.h
t;aa;m u;sat;o v;i bodhaya y;ad agne y;aasi duuty:am deva;ir ;aa satsi barh;i.si	t;aan u;sat;a.h v;i bodhaya y;at agne y;aasi duuty:am deva;i.h ;aa satsi barh;i.si
gh;.rtaahavana diidiva.h pr;ati .sma r;i.sato daha ;agne tv;a.m rak.sasv;ina.h	gh;.rtaahavana diidiva.h pr;ati sma r;i.sata.h daha ;agne tv;am rak.sasv;ina.h
kav;im agn;im ;upa stuhi saty;adharmaa.nam adhvar;e dev;am amiivac;aatanam	kav;im agn;im ;upa stuhi saty;adharmaa.nam adhvar;e dev;am amiivac;aatanam
s;a na st;avaana ;aa bhara gaayatr;e.na n;aviiyasaa ray;i.m viir;avatiim ;i.sam	s;a na.h st;avaana.h ;aa bhara gaayatr;e.na n;aviiyasaa ray;im viir;avatiim ;i.sam
;agne ;sukr;e.na ;soc;i.saa v;i;svaabhir dev;ahuutibhi.h im;a.m st;oma.m ju.sasva na.h	;agne ;sukr;e.na ;soc;i.saa v;i;svaabhi.h dev;ahuutibhi.h im;am st;omam ju.sasva na.h
n;araa;s;a.msam ih;a priy;am asm;in yaj;n;a ;upa hvaye m;adhujihva.m havi.sk;.rtam	n;araa;s;a.msam ih;a priy;am asm;in yaj;n;e ;upa hvaye m;adhujihvam havi.sk;.rtam
;agne sukh;atame r;athe dev;aa;m ii.dit;a ;aa vaha ;asi h;otaa m;anurhita.h	;agne sukh;atame r;athe dev;aan ii.dit;a.h ;aa vaha ;asi h;otaa m;anurhita.h
v;i ;srayantaam .rtaav;.rdho dv;aaro dev;iir asa;sc;ata.h ady;aa nuun;a.m ca y;a.s.tave	v;i ;srayantaam .rtaav;.rdha.h dv;aara.h dev;ii.h asa;sc;ata.h ady;a+ nuun;am ca y;a.s.tave
n;akto.s;aasaa sup;e;sasaasm;in yaj;n;a ;upa hvaye id;a.m no barh;ir aas;ade	n;akto.s;aasaa sup;e;sasaa asm;in yaj;n;e ;upa hvaye id;am na.h barh;i.h aas;ade
;i.daa s;arasvatii mah;ii tisr;o dev;iir mayobh;uva.h barh;i.h siidantv asr;idha.h	;i.daa s;arasvatii mah;ii tisr;a.h dev;ii.h mayobh;uva.h barh;i.h siidantu asr;idha.h
ih;a tv;a.s.taaram agriy;a.m vi;sv;aruupam ;upa hvaye asm;aakam astu k;evala.h	ih;a tv;a.s.taaram agriy;am vi;sv;aruupam ;upa hvaye asm;aakam astu k;evala.h
;ava s.rjaa vanaspate d;eva dev;ebhyo hav;i.h pr;a daat;ur astu c;etanam	;ava s.rja+ vanaspate d;eva dev;ebhya.h hav;i.h pr;a daat;u.h astu c;etanam
indravaay;uu b;.rhasp;atim mitr;aagn;im puu.s;a.nam bh;agam aadity;aan m;aaruta.m ga.n;am	indravaay;uu b;.rhasp;atim mitr;aa agn;im puu.s;a.nam bh;agam aadity;aan m;aarutam ga.n;am
pr;a vo bhriyanta ;indavo matsar;aa maadayi.s.n;ava.h draps;aa m;adhva;s camuu.s;ada.h	pr;a va.h bhriyante ;indava.h matsar;aa.h maadayi.s.n;ava.h draps;aa.h m;adhva.h camuu.s;ada.h
gh.rt;ap.r.s.thaa manoy;ujo y;e tvaa v;ahanti v;ahnaya.h ;aa dev;aan s;omapiitaye	gh.rt;ap.r.s.thaa.h manoy;uja.h y;e tvaa v;ahanti v;ahnaya.h ;aa dev;aan s;omapiitaye
t;aan y;ajatraa;m .rtaav;.rdh;o 'gne p;atniivatas k.rdhi m;adhva.h sujihva paayaya	t;aan y;ajatraan .rtaav;.rdha.h ;agne p;atniivata.h k.rdhi m;adhva.h sujihva paayaya
;aakii.m s;uuryasya rocan;aad v;i;svaan dev;aa;m u.sarb;udha.h v;ipro h;oteh;a vak.sati	;aakiim s;uuryasya rocan;aat v;i;svaan dev;aan u.sarb;udha.h v;ipra.h h;otaa ih;a vak.sati
;indra s;omam p;iba .rt;un;aa tvaa vi;santv ;indava.h matsar;aasas t;adokasa.h	;indra s;omam p;iba .rt;unaa ;aa tvaa vi;santu ;indava.h matsar;aasa.h t;adokasa.h
abh;i yaj;n;a.m g.r.niihi no gn;aavo n;e.s.ta.h p;iba .rt;unaa tv;a.m h;i ratnadh;aa ;asi	abh;i yaj;n;am g.r.niihi na.h gn;aava.h n;e.s.tar p;iba .rt;unaa tv;am h;i ratnadh;aa.h ;asi
;agne dev;aa;m ih;aa vaha saad;ayaa y;oni.su tri.s;u p;ari bhuu.sa p;iba .rt;unaa	;agne dev;aan ih;a ;aa vaha saad;aya+ y;oni.su tri.s;u p;ari bhuu.sa p;iba .rt;unaa
y;at tvaa tur;iiyam .rt;ubhir dr;avi.nodo y;ajaamahe ;adha smaa no dad;ir bhava	y;at tvaa tur;iiyam .rt;ubhi.h dr;avi.noda.h y;ajaamahe ;adha sma+ na.h dad;i.h bhava
;a;svinaa p;ibatam m;adhu d;iidyagnii ;sucivrataa .rt;unaa yaj;navaahasaa	;a;svinaa p;ibatam m;adhu d;iidyagnii ;sucivrataa .rt;unaa yaj;navaahasaa
g;aarhapatyena santya .rt;unaa yaj;nan;iir asi dev;aan devayat;e yaja	g;aarhapatyena santya .rt;unaa yaj;nan;ii.h asi dev;aan devayat;e yaja
;aa tvaa vahantu h;arayo v;.r.sa.na.m s;omapiitaye ;indra tvaa s;uuracak.sasa.h	;aa tvaa vahantu h;araya.h v;.r.sa.nam s;omapiitaye ;indra tvaa s;uuracak.sasa.h
im;aa dhaan;aa gh.rtasn;uvo h;arii ih;opa vak.sata.h ;indra.m sukh;atame r;athe	im;aa.h dhaan;aa.h gh.rtasn;uva.h h;arii ih;a ;upa vak.sata.h ;indram sukh;atame r;athe
s;em;a.m na st;omam ;aa gahy ;uped;a.m s;avana.m sut;am gaur;o n;a t.r.sit;a.h piba	s;a im;am na.h st;omam ;aa gahi ;upa id;am s;avanam sut;am gaur;a.h n;a t.r.sit;a.h piba
im;e s;omaasa ;indava.h sut;aaso ;adhi barh;i.si t;aa;m indra s;ahase piba	im;e s;omaasa.h ;indava.h sut;aasa.h ;adhi barh;i.si t;aan indra s;ahase piba
v;i;svam ;it s;avana.m sut;am ;indro m;adaaya gachati v.rtrah;aa s;omapiitaye	v;i;svam ;it s;avanam sut;am ;indra.h m;adaaya gachati v.rtrah;aa s;omapiitaye
;indraav;aru.nayor ah;a.m samr;aajor ;ava ;aa v.r.ne t;aa no m.r.daata iid;.r;se	;indraav;aru.nayo.h ah;am samr;aajo.h ;ava.h ;aa v.r.ne t;aa na.h m.r.daata.h iid;.r;se
g;antaaraa h;i sth;o 'vase h;ava.m v;iprasya m;aavata.h dhart;aaraa car.sa.niin;aam	g;antaaraa h;i sth;a.h ;avase h;avam v;iprasya m;aavata.h dhart;aaraa car.sa.niin;aam
anukaam;a.m tarpayethaam ;indraavaru.na raay;a ;aa t;aa vaa.m n;edi.s.tham iimahe	anukaam;am tarpayethaam ;indraavaru.naa= raay;a.h ;aa t;aa vaam n;edi.s.tham iimahe
t;ayor ;id ;avasaa vay;a.m san;ema n;i ca dhiimahi sy;aad ut;a prar;ecanam	t;ayo.h ;it ;avasaa vay;am san;ema n;i ca dhiimahi sy;aat ut;a prar;ecanam
m;aa na.h ;s;a.mso ;araru.so dhuurt;i.h pr;a.na:n m;artyasya r;ak.saa .no brahma.nas pate	m;aa na.h ;s;a.msa.h ;araru.sa.h dhuurt;i.h pr;a.nak m;artyasya r;ak.sa+ na.h brahma.na.h pate
s;adasas p;atim ;adbhutam priy;am ;indrasya k;aamyam san;im medh;aam ayaasi.sam	s;adasa.h p;atim ;adbhutam priy;am ;indrasya k;aamyam san;im medh;aam ayaasi.sam
;aad .rdhnoti hav;i.sk.rtim pr;aa;nca.m k.r.noty adhvar;am h;otraa dev;e.su gachati	;aat .rdhnoti hav;i.sk.rtim pr;aa;ncam k.r.noti adhvar;am h;otraa dev;e.su gachati
pr;ati ty;a.m c;aarum adhvar;a.m gopiith;aaya pr;a huuyase mar;udbhir agna ;aa gahi	pr;ati ty;am c;aarum adhvar;am gopiith;aaya pr;a huuyase mar;udbhi.h agne ;aa gahi
nah;i dev;o n;a m;artyo mah;as t;ava kr;atum par;a.h mar;udbhir agna ;aa gahi	nah;i dev;a.h n;a m;artya.h mah;a.h t;ava kr;atum par;a.h mar;udbhi.h agne ;aa gahi
y;e mah;o r;ajaso vid;ur v;i;sve dev;aaso adr;uha.h mar;udbhir agna ;aa gahi	y;e mah;a.h r;ajasa.h vid;u.h v;i;sve dev;aasa.h adr;uha.h mar;udbhi.h agne ;aa gahi
y;a ugr;aa ark;am aan.rc;ur ;anaadh.r.s.taasa ;ojasaa mar;udbhir agna ;aa gahi	y;e ugr;aa.h ark;am aan.rc;u.h ;anaadh.r.s.taasa.h ;ojasaa mar;udbhi.h agne ;aa gahi
ay;a.m dev;aaya j;anmane st;omo v;iprebhir aasay;aa ;akaari ratnadh;aatama.h	ay;am dev;aaya j;anmane st;oma.h v;iprebhi.h aasay;aa ;akaari ratnadh;aatama.h
y;a ;indraaya vacoy;ujaa tatak.s;ur m;anasaa h;arii ;s;amiibhir yaj;n;am aa;sata	y;e ;indraaya vacoy;ujaa tatak.s;u.h m;anasaa h;arii ;s;amiibhi.h yaj;n;am aa;sata
t;ak.san n;aasatyaabhyaam p;arijmaana.m sukh;a.m r;atham t;ak.san dhen;u.m sabard;ughaam	t;ak.san n;aasatyaabhyaam p;arijmaanam sukh;am r;atham t;ak.san dhen;um sabard;ughaam
y;uvaanaa pit;araa p;una.h saty;amantraa .rjuuy;ava.h .rbh;avo vi.s.ty :akrata	y;uvaanaa pit;araa p;unar saty;amantraa.h .rjuuy;ava.h .rbh;ava.h vi.s.t;ii akrata
s;a.m vo m;adaaso agmat;endre.na ca mar;utvataa aadity;ebhi;s ca r;aajabhi.h	s;am va.h m;adaasa.h agmata ;indre.na ca mar;utvataa aadity;ebhi.h ca r;aajabhi.h
ut;a ty;a.m camas;a.m n;ava.m tv;a.s.tur dev;asya n;i.sk.rtam ;akarta cat;ura.h p;una.h	ut;a ty;am camas;am n;avam tv;a.s.tu.h dev;asya n;i.sk.rtam ;akarta cat;ura.h p;unar
ih;endraagn;ii ;upa hvaye t;ayor ;it st;omam u;smasi t;aa s;oma.m somap;aatamaa	ih;a indraagn;ii ;upa hvaye t;ayo.h ;it st;omam u;smasi t;aa s;omam somap;aatamaa
t;aa mitr;asya pr;a;sastaya indraagn;ii t;aa havaamahe somap;aa s;omapiitaye	t;aa mitr;asya pr;a;sastaye indraagn;ii t;aa havaamahe somap;aa s;omapiitaye
y;aa vaa.m k;a;saa m;adhumaty ;a;svinaa suun;.rtaavatii t;ayaa yaj;n;am mimik.satam	y;aa vaam k;a;saa m;adhumatii ;a;svinaa suun;.rtaavatii t;ayaa yaj;n;am mimik.satam
nah;i vaam ;asti duurak;e y;atraa r;athena g;achatha.h ;a;svinaa som;ino g.rh;am	nah;i vaam ;asti duurak;e y;atra+ r;athena g;achatha.h ;a;svinaa som;ina.h g.rh;am
s;akhaaya ;aa n;i .siidata savit;aa st;omyo n;u na.h d;aataa r;aadhaa.msi ;sumbhati	s;akhaaya.h ;aa n;i siidata savit;aa st;omya.h n;u na.h d;aataa r;aadhaa.msi ;sumbhati
mah;ii dya;u.h p.rthiv;ii ca na im;a.m yaj;n;am :.: mimik.sataam pip.rt;aa.m no bh;ariimabhi.h	mah;ii dya;u.h p.rthiv;ii ca na.h im;am yaj;n;am mimik.sataam pip.rt;aam na.h bh;ariimabhi.h
v;i.s.no.h k;armaa.ni pa;syata y;ato vrat;aani paspa;s;e ;indrasya y;ujya.h s;akhaa	v;i.s.no.h k;armaa.ni pa;syata y;ata.h vrat;aani paspa;s;e ;indrasya y;ujya.h s;akhaa
t;ad v;i.s.no.h param;am pad;a.m s;adaa pa;syanti suur;aya.h div:iiva c;ak.sur ;aatatam	t;at v;i.s.no.h param;am pad;am s;adaa pa;syanti suur;aya.h div;i iva c;ak.su.h ;aatatam
t;ad v;ipraaso vipany;avo jaag.rv;aa.msa.h s;am indhate v;i.s.nor y;at param;am pad;am	t;at v;ipraasa.h vipany;ava.h jaag.rv;aa.msa.h s;am indhate v;i.s.no.h y;at param;am pad;am
tiivr;aa.h s;omaasa ;aa gahy aa;s;iirvanta.h sut;aa im;e v;aayo t;aan pr;asthitaan piba	tiivr;aa.h s;omaasa.h ;aa gahi aa;s;iirvanta.h sut;aa.h im;e v;aayo t;aan pr;asthitaan piba
indravaay;uu manoj;uvaa v;ipraa havanta uut;aye sahasraak.s;aa dhiy;as p;atii	indravaay;uu manoj;uvaa v;ipraa.h havante uut;aye sahasraak.s;aa dhiy;a.h p;atii
mitr;a.m vay;a.m havaamahe v;aru.na.m s;omapiitaye jaj;naan;aa puut;adak.sasaa	mitr;am vay;am havaamahe v;aru.nam s;omapiitaye jaj;naan;aa puut;adak.sasaa
.rt;ena y;aav .rtaav;.rdhaav .rt;asya jy;oti.sas p;atii t;aa mitr;aav;aru.naa huve	.rt;ena ya;u .rtaav;.rdhau .rt;asya jy;oti.sa.h p;atii t;aa mitr;aav;aru.naa huve
mar;utvanta.m havaamaha ;indram ;aa s;omapiitaye saj;uur ga.n;ena t.rmpatu	mar;utvantam havaamahe ;indram ;aa s;omapiitaye saj;uu.h ga.n;ena t.rmpatu
