samhita	pada
p;arehi v;igram ;ast.rtam ;indram p.rchaa vipa;sc;itam y;as te s;akhibhya ;aa v;aram	p;araa ihi v;igram ;ast.rtam ;indram p.rcha+ vipa;sc;itam y;a.h te s;akhibhya.h ;aa v;aram
ut;a bruvantu no n;ido n;ir any;ata;s cid aarata d;adhaanaa ;indra ;id d;uva.h	ut;a bruvantu na.h n;ida.h n;i.h any;ata.h cit aarata d;adhaanaa.h ;indre ;it d;uva.h
ut;a na.h subh;agaa;m ar;ir voc;eyur dasma k.r.s.t;aya.h sy;aam;ed ;indrasya ;s;arma.ni	ut;a na.h subh;agaan ar;i.h voc;eyu.h dasma k.r.s.t;aya.h sy;aama ;it ;indrasya ;s;arma.ni
;em aa;s;um aa;s;ave bhara yaj;na;sr;iya.m n.rm;aadanam patay;an manday;atsakham	;aa iim aa;s;um aa;s;ave bhara yaj;na;sr;iyam n.rm;aadanam patay;at manday;atsakham
asy;a piitv;aa ;satakrato ghan;o v.rtr;aa.naam abhava.h pr;aavo v;aaje.su vaaj;inam	asy;a piitv;aa ;satakrato ghan;a.h v.rtr;aa.naam abhava.h pr;a aava.h v;aaje.su vaaj;inam
t;a.m tvaa v;aaje.su vaaj;ina.m vaaj;ayaama.h ;satakrato dh;anaanaam indra saat;aye	t;am tvaa v;aaje.su vaaj;inam vaaj;ayaama.h ;satakrato dh;anaanaam indra saat;aye
y;o raay:o 'v;anir mah;aan supaar;a.h sunvat;a.h s;akhaa t;asmaa ;indraaya gaayata	y;a.h raay;a.h av;ani.h mah;aan supaar;a.h sunvat;a.h s;akhaa t;asmai ;indraaya gaayata
;aa tv ;etaa n;i .siidat;endram abh;i pr;a gaayata s;akhaaya st;omavaahasa.h	;aa t;u ;aa ita+ n;i siidata ;indram abh;i pr;a gaayata s;akhaaya.h st;omavaahasa.h
puruut;amam puruu.n;aam ;ii;saana.m v;aaryaa.naam ;indra.m s;ome s;acaa sut;e	puruut;amam puruu.n;aam ;ii;saanam v;aaryaa.naam ;indram s;ome s;acaa sut;e
s;a ghaa no y;oga ;aa bhuvat s;a raay;e s;a p;ura.mdhyaam g;amad v;aajebhir ;aa s;a na.h	s;a gha+ na.h y;oge ;aa bhuvat s;a raay;e s;a p;ura.mdhyaam g;amat v;aajebhi.h ;aa s;a na.h
y;asya sa.msth;e n;a v.r.nv;ate h;arii sam;atsu ;s;atrava.h t;asmaa ;indraaya gaayata	y;asya sa.msth;e n;a v.r.nv;ate h;arii sam;atsu ;s;atrava.h t;asmai ;indraaya gaayata
sutap;aavne sut;aa im;e ;s;ucayo yanti viit;aye s;omaaso d;adhyaa;sira.h	sutap;aavne sut;aa.h im;e ;s;ucaya.h yanti viit;aye s;omaasa.h d;adhyaa;sira.h
tv;a.m sut;asya piit;aye sady;o v.rddh;o ajaayathaa.h ;indra jya;i.s.thyaaya sukrato	tv;am sut;asya piit;aye sady;a.h v.rddh;a.h ajaayathaa.h ;indra jya;i.s.thyaaya sukrato
;aa tvaa vi;santv aa;s;ava.h s;omaasa indra girva.na.h ;s;a.m te santu pr;acetase	;aa tvaa vi;santu aa;s;ava.h s;omaasa.h indra girva.na.h ;s;am te santu pr;acetase
tv;aa.m st;omaa aviiv.rdhan tv;aam ukth;aa ;satakrato tv;aa.m vardhantu no g;ira.h	tv;aam st;omaa.h aviiv.rdhan tv;aam ukth;aa ;satakrato tv;aam vardhantu na.h g;ira.h
;ak.sitoti.h saned im;a.m v;aajam ;indra.h sahasr;i.nam y;asmin v;i;svaani pa;u.msyaa	;ak.sitoti.h sanet im;am v;aajam ;indra.h sahasr;i.nam y;asmin v;i;svaani pa;u.msyaa
m;aa no m;artaa abh;i druhan tan;uunaam indra girva.na.h ;ii;saano yavayaa vadh;am	m;aa na.h m;artaa.h abh;i druhan tan;uunaam indra girva.na.h ;ii;saana.h yavaya+ vadh;am
yu;nj;anti bradhn;am aru.s;a.m c;arantam p;ari tasth;u.sa.h r;ocante rocan;aa div;i	yu;nj;anti bradhn;am aru.s;am c;arantam p;ari tasth;u.sa.h r;ocante rocan;aa div;i
yu;nj;anty asya k;aamyaa h;arii v;ipak.sasaa r;athe ;s;o.naa dh.r.s.n;uu n.rv;aahasaa	yu;nj;anti asya k;aamyaa h;arii v;ipak.sasaa r;athe ;s;o.naa dh.r.s.n;uu n.rv;aahasaa
ket;u.m k.r.nv;ann aket;ave p;e;so maryaa ape;s;ase s;am u.s;adbhir ajaayathaa.h	ket;um k.r.nv;an aket;ave p;e;sa.h maryaa.h ape;s;ase s;am u.s;adbhi.h ajaayathaa.h
;aad ;aha svadh;aam ;anu p;unar garbhatv;am erir;e d;adhaanaa n;aama yaj;n;iyam	;aat ;aha svadh;aam ;anu p;unar garbhatv;am erir;e d;adhaanaa.h n;aama yaj;n;iyam
vii.d;u cid aarujatn;ubhir g;uhaa cid indra v;ahnibhi.h ;avinda usr;iyaa ;anu	vii.d;u cit aarujatn;ubhi.h g;uhaa cit indra v;ahnibhi.h ;avinda.h usr;iyaa.h ;anu
devay;anto y;athaa mat;im ;achaa vid;advasu.m g;ira.h mah;aam anuu.sata ;srut;am	devay;anta.h y;athaa mat;im ;acha+ vid;advasum g;ira.h mah;aam anuu.sata ;srut;am
;indre.na s;a.m h;i d;.rk.sase sa.mjagmaan;o ;abibhyu.saa mand;uu samaan;avarcasaa	;indre.na s;am h;i d;.rk.sase sa.mjagmaan;a.h ;abibhyu.saa mand;uu samaan;avarcasaa
anavadya;ir abh;idyubhir makh;a.h s;ahasvad arcati ga.na;ir ;indrasya k;aamyai.h	anavadya;i.h abh;idyubhi.h makh;a.h s;ahasvat arcati ga.na;i.h ;indrasya k;aamyai.h
;ata.h parijmann ;aa gahi div;o vaa rocan;aad ;adhi s;am asminn .r;njate g;ira.h	;ata.h parijman ;aa gahi div;a.h vaa rocan;aat ;adhi s;am asmin .r;njate g;ira.h
it;o vaa saat;im ;iimahe div;o vaa p;aarthivaad ;adhi ;indram mah;o vaa r;ajasa.h	it;a.h vaa saat;im ;iimahe div;a.h vaa p;aarthivaat ;adhi ;indram mah;a.h vaa r;ajasa.h
;indram ;id gaath;ino b.rh;ad ;indram ark;ebhir ark;i.na.h ;indra.m v;aa.niir anuu.sata	;indram ;it gaath;ina.h b.rh;at ;indram ark;ebhi.h ark;i.na.h ;indram v;aa.nii.h anuu.sata
;indra ;id dh;aryo.h s;acaa s;ammi;sla ;aa vacoy;ujaa ;indro vajr;ii hira.ny;aya.h	;indra.h ;it h;aryo.h s;acaa s;ammi;sla.h ;aa vacoy;ujaa ;indra.h vajr;ii hira.ny;aya.h
;indro diirgh;aaya c;ak.sasa ;aa s;uurya.m rohayad div;i v;i g;obhir ;adrim airayat	;indra.h diirgh;aaya c;ak.sase ;aa s;uuryam rohayat div;i v;i g;obhi.h ;adrim airayat
;indra v;aaje.su no 'va sah;asrapradhane.su ca ugr;a ugr;aabhir uut;ibhi.h	;indra v;aaje.su na.h ava sah;asrapradhane.su ca ugr;a.h ugr;aabhi.h uut;ibhi.h
;indra.m vay;am mahaadhan;a ;indram ;arbhe havaamahe y;uja.m v.rtr;e.su vajr;i.nam	;indram vay;am mahaadhan;e ;indram ;arbhe havaamahe y;ujam v.rtr;e.su vajr;i.nam
s;a no v.r.sann am;u.m car;u.m s;atraadaavann ;apaa v.rdhi asm;abhyam ;aprati.skuta.h	s;a na.h v.r.san am;um car;um s;atraadaavan ;apa+ v.rdhi asm;abhyam ;aprati.skuta.h
tu;nj;e-tu;nje y;a ;uttare st;omaa ;indrasya vajr;i.na.h n;a vindhe asya su.s.tut;im	tu;nj;e-tu;nje y;e ;uttare st;omaa.h ;indrasya vajr;i.na.h n;a vindhe asya su.s.tut;im
v;.r.saa yuuth;eva v;a.msaga.h k.r.s.t;iir iyarty ;ojasaa ;ii;saano ;aprati.skuta.h	v;.r.saa yuuth;aa iva v;a.msaga.h k.r.s.t;ii.h iyarti ;ojasaa ;ii;saana.h ;aprati.skuta.h
y;a ;eka;s car.sa.niin;aa.m v;asuunaam irajy;ati ;indra.h p;a;nca k.sitiin;aam	y;a.h ;eka.h car.sa.niin;aam v;asuunaam irajy;ati ;indra.h p;a;nca k.sitiin;aam
;indra.m vo vi;sv;atas p;ari h;avaamahe j;anebhya.h asm;aakam astu k;evala.h	;indram va.h vi;sv;ata.h p;ari h;avaamahe j;anebhya.h asm;aakam astu k;evala.h
;endra saanas;i.m ray;i.m saj;itvaana.m sadaas;aham v;ar.si.s.tham uut;aye bhara	;aa indra saanas;im ray;im saj;itvaanam sadaas;aham v;ar.si.s.tham uut;aye bhara
n;i y;ena mu.s.tihaty;ayaa n;i v.rtr;aa ru.n;adhaamahai tv;otaaso ny ;arvataa	n;i y;ena mu.s.tihaty;ayaa n;i v.rtr;aa ru.n;adhaamahai tv;otaasa.h n;i ;arvataa
;indra tv;otaasa ;aa vay;a.m v;ajra.m ghan;aa dadiimahi j;ayema s;a.m yudh;i sp;.rdha.h	;indra tv;otaasa.h ;aa vay;am v;ajram ghan;aa.h ! dadiimahi j;ayema s;am yudh;i sp;.rdha.h
vay;a.m ;s;uurebhir ;ast.rbhir ;indra tv;ayaa yuj;aa vay;am saasahy;aama p.rtanyat;a.h	vay;am ;s;uurebhi.h ;ast.rbhi.h ;indra tv;ayaa yuj;aa vay;am saasahy;aama p.rtanyat;a.h
mah;aa;m ;indra.h par;a;s ca n;u mahitv;am astu vajr;i.ne dya;ur n;a prathin;aa ;s;ava.h	mah;aan ;indra.h par;a.h ca n;u mahitv;am astu vajr;i.ne dya;u.h n;a prathin;aa ;s;ava.h
samoh;e vaa y;a ;aa;sata n;aras tok;asya s;anitau v;ipraaso vaa dhiyaay;ava.h	samoh;e vaa y;e ;aa;sata n;ara.h tok;asya s;anitau v;ipraasa.h vaa dhiyaay;ava.h
y;a.h kuk.s;i.h somap;aatama.h samudr;a iva p;invate urv;iir ;aapo n;a kaak;uda.h	y;a.h kuk.s;i.h somap;aatama.h samudr;a.h iva p;invate urv;ii.h ;aapa.h n;a kaak;uda.h
ev;aa hy :asya suun;.rtaa virap;s;ii g;omatii mah;ii pakv;aa ;s;aakhaa n;a daa;s;u.se	ev;a+ h;i asya suun;.rtaa virap;s;ii g;omatii mah;ii pakv;aa ;s;aakhaa n;a daa;s;u.se
ev;aa h;i te v;ibhuutaya uut;aya indra m;aavate sady;a;s cit s;anti daa;s;u.se	ev;a+ h;i te v;ibhuutaya.h uut;aya.h indra m;aavate sady;a.h cit s;anti daa;s;u.se
ev;aa hy :asya k;aamyaa st;oma ukth;a.m ca ;s;a.msyaa ;indraaya s;omapiitaye	ev;a+ h;i asya k;aamyaa st;oma.h ukth;am ca ;s;a.msyaa ;indraaya s;omapiitaye
;indr;ehi m;atsy ;andhaso v;i;svebhi.h somap;arvabhi.h mah;aa;m abhi.s.t;ir ;ojasaa	;indra ;aa ihi m;atsi ;andhasa.h v;i;svebhi.h somap;arvabhi.h mah;aan abhi.s.t;i.h ;ojasaa
;em ena.m s.rjataa sut;e mand;im ;indraaya mand;ine c;akri.m v;i;svaani c;akraye	;aa iim enam s.rjata+ sut;e mand;im ;indraaya mand;ine c;akrim v;i;svaani c;akraye
m;atsvaa su;sipra mand;ibhi st;omebhir vi;svacar.sa.ne s;acai.s;u s;avane.sv ;aa	m;atsva+ su;sipra mand;ibhi.h st;omebhi.h vi;svacar.sa.ne s;acaa e.s;u s;avane.su ;aa
;as.rgram indra te g;ira.h pr;ati tv;aam ;ud ahaasata ;ajo.saa v.r.sabh;am p;atim	;as.rgram indra te g;ira.h pr;ati tv;aam ;ut ahaasata ;ajo.saa.h v.r.sabh;am p;atim
s;a.m codaya citr;am arv;aag r;aadha indra v;are.nyam ;asad ;it te vibh;u prabh;u	s;am codaya citr;am arv;aak r;aadha.h indra v;are.nyam ;asat ;it te vibh;u prabh;u
asm;aan s;u t;atra coday;endra raay;e r;abhasvata.h t;uvidyumna y;a;sasvata.h	asm;aan s;u t;atra codaya ;indra raay;e r;abhasvata.h t;uvidyumna y;a;sasvata.h
s;a.m g;omad indra v;aajavad asm;e p.rth;u ;sr;avo b.rh;at vi;sv;aayur dhehy ;ak.sitam	s;am g;omat indra v;aajavat asm;e p.rth;u ;sr;ava.h b.rh;at vi;sv;aayu.h dhehi ;ak.sitam
asm;e dhehi ;sr;avo b.rh;ad dyumn;a.m sahasras;aatamam ;indra t;aa rath;iniir ;i.sa.h	asm;e dhehi ;sr;ava.h b.rh;at dyumn;am sahasras;aatamam ;indra t;aa.h rath;inii.h ;i.sa.h
v;asor ;indra.m v;asupati.m giirbh;ir g.r.n;anta .rgm;iyam h;oma g;antaaram uut;aye	v;aso.h ;indram v;asupatim giirbh;i.h g.r.n;anta.h .rgm;iyam h;oma g;antaaram uut;aye
sut;e-sute ny:okase b.rh;ad b.rhat;a ;ed ar;i.h ;indraaya ;suu.s;am arcati	sut;e-sute ny:okase b.rh;at b.rhat;e ;aa ;it ar;i.h ;indraaya ;suu.s;am arcati
g;aayanti tvaa gaayatr;i.n;o 'rcanty ark;am ark;i.na.h brahm;aa.nas tvaa ;satakrata ;ud va.m;s;am iva yemire	g;aayanti tvaa gaayatr;i.na.h ;arcanti ark;am ark;i.na.h brahm;aa.na.h tvaa ;satakrato ;ut va.m;s;am iva yemire
y;at s;aano.h s;aanum ;aaruhad bh;uury ;aspa.s.ta k;artvam t;ad ;indro ;artha.m cetati yuuth;ena v.r.s.n;ir ejati	y;at s;aano.h s;aanum ;aa ;aruhat bh;uuri ;aspa.s.ta k;artvam t;at ;indra.h ;artham cetati yuuth;ena v.r.s.n;i.h ejati
yuk.sv;aa h;i ke;s;inaa h;arii v;.r.sa.naa kak.syapr;aa ;athaa na indra somapaa gir;aam ;upa;sruti.m cara	yuk.sv;a+ h;i ke;s;inaa h;arii v;.r.sa.naa kak.syapr;aa ;atha+ na.h indra somapaa.h gir;aam ;upa;srutim cara
;ehi st;omaa;m abh;i svaraabh;i g.r.niihy ;aa ruva br;ahma ca no vaso s;ac;endra yaj;n;a.m ca vardhaya	;aa ihi st;omaan abh;i svara abh;i g.r.niihi ;aa ruva br;ahma ca na.h vaso s;acaa ;indra yaj;n;am ca vardhaya
ukth;am ;indraaya ;s;a.msya.m v;ardhanam puruni.s.s;idhe ;sakr;o y;athaa sut;e.su .no raar;a.nat sakhy;e.su ca	ukth;am ;indraaya ;s;a.msyam v;ardhanam puruni.s.s;idhe ;sakr;a.h y;athaa sut;e.su na.h raar;a.nat sakhy;e.su ca
t;am ;it sakhitv;a iimahe t;a.m raay;e t;a.m suv;iirye s;a ;sakr;a ut;a na.h ;sakad ;indro v;asu d;ayamaana.h	t;am ;it sakhitv;e iimahe t;am raay;e t;am suv;iirye s;a ;sakr;a.h ut;a na.h ;sakat ;indra.h v;asu d;ayamaana.h
suviv;.rta.m sunir;ajam ;indra tv;aadaatam ;id y;a;sa.h g;avaam ;apa vraj;a.m v.rdhi k.r.nu.sv;a r;aadho adriva.h	suviv;.rtam sunir;ajam ;indra tv;aadaatam ;it y;a;sa.h g;avaam ;apa vraj;am v.rdhi k.r.nu.sv;a r;aadha.h adriva.h
nah;i tvaa r;odasii ubh;e .rghaay;amaa.nam ;invata.h j;e.sa.h sv:arvatiir ap;a.h s;a.m g;aa asm;abhya.m dhuunuhi	nah;i tvaa r;odasii ubh;e .rghaay;amaa.nam ;invata.h j;e.sa.h sv:arvatii.h ap;a.h s;am g;aa.h asm;abhyam dhuunuhi
;aa;srutkar.na ;srudh;ii h;ava.m n;uu cid dadhi.sva me g;ira.h ;indra st;omam im;am m;ama k.r.sv;aa yuj;a;s cid ;antaram	;aa;srutkar.na ;srudh;i+ h;avam n;u+ cit dadhi.sva me g;ira.h ;indra st;omam im;am m;ama k.r.sv;a+ yuj;a.h cit ;antaram
vidm;aa h;i tvaa v;.r.santama.m v;aaje.su havana;sr;utam v;.r.santamasya huumaha uut;i.m sahasras;aatamaam	vidm;a+ h;i tvaa v;.r.santamam v;aaje.su havana;sr;utam v;.r.santamasya huumahe uut;im sahasras;aatamaam
;aa t;uu na indra kau;sika mandasaan;a.h sut;am piba n;avyam ;aayu.h pr;a s;uu tira k.rdh;ii sahasras;aam ;.r.sim	;aa t;u+ na.h indra kau;sika mandasaan;a.h sut;am piba n;avyam ;aayu.h pr;a s;u+ tira k.rdh;i+ sahasras;aam ;.r.sim
p;ari tvaa girva.no g;ira im;aa bhavantu vi;sv;ata.h v.rddh;aayum ;anu v;.rddhayo j;u.s.taa bhavantu j;u.s.taya.h	p;ari tvaa girva.na.h g;ira.h im;aa.h bhavantu vi;sv;ata.h v.rddh;aayum ;anu v;.rddhaya.h j;u.s.taa.h bhavantu j;u.s.taya.h
;indra.m v;i;svaa aviiv.rdhan samudr;avyacasa.m g;ira.h rath;iitama.m rath;iinaa.m v;aajaanaa.m s;atpatim p;atim	;indram v;i;svaa.h aviiv.rdhan samudr;avyacasam g;ira.h rath;iitamam rath;iinaam v;aajaanaam s;atpatim p;atim
sakhy;e ta indra vaaj;ino m;aa bhema ;savasas pate tv;aam abh;i pr;a .nonumo j;etaaram ;aparaajitam	sakhy;e te indra vaaj;ina.h m;aa bhema ;savasa.h pate tv;aam abh;i pr;a nonuma.h j;etaaram ;aparaajitam
puurv;iir ;indrasya raat;ayo n;a v;i dasyanty uut;aya.h y;adii v;aajasya g;omata stot;.rbhyo m;a.mhate magh;am	puurv;ii.h ;indrasya raat;aya.h n;a v;i dasyanti uut;aya.h y;adi+ v;aajasya g;omata.h stot;.rbhya.h m;a.mhate magh;am
pur;aam bhind;ur y;uvaa kav;ir ;amitaujaa ajaayata ;indro v;i;svasya k;arma.no dhart;aa vajr;ii puru.s.tut;a.h	pur;aam bhind;u.h y;uvaa kav;i.h ;amitaujaa.h ajaayata ;indra.h v;i;svasya k;arma.na.h dhart;aa vajr;ii puru.s.tut;a.h
tv;a.m val;asya g;omat;o 'paavar adrivo b;ilam tv;aa.m dev;aa ;abibhyu.sas tujy;amaanaasa aavi.su.h	tv;am val;asya g;omata.h ;apa aavar adriva.h b;ilam tv;aam dev;aa.h ;abibhyu.sa.h tujy;amaanaasa.h aavi.su.h
t;avaah;a.m ;suura raat;ibhi.h pr;aty aaya.m s;indhum aav;adan ;upaati.s.thanta girva.no vid;u.s .te t;asya kaar;ava.h	t;ava ah;am ;suura raat;ibhi.h pr;ati aayam s;indhum aav;adan ;upa ati.s.thanta girva.na.h vid;u.h te t;asya kaar;ava.h
maay;aabhir indra maay;ina.m tv;a.m ;s;u.s.nam ;avaatira.h vid;u.s .te t;asya m;edhiraas t;e.saa.m ;sr;avaa.msy ;ut tira	maay;aabhi.h indra maay;inam tv;am ;s;u.s.nam ;ava atira.h vid;u.h te t;asya m;edhiraa.h t;e.saam ;sr;avaa.msi ;ut tira
;indram ;ii;saanam ;ojasaabh;i st;omaa anuu.sata sah;asra.m y;asya raat;aya ut;a vaa s;anti bh;uuyasii.h	;indram ;ii;saanam ;ojasaa abh;i st;omaa.h anuu.sata sah;asram y;asya raat;aya.h ut;a vaa s;anti bh;uuyasii.h
agn;i.m duut;a.m v.r.niimahe h;otaara.m vi;sv;avedasam asy;a yaj;n;asya sukr;atum	agn;im duut;am v.r.niimahe h;otaaram vi;sv;avedasam asy;a yaj;n;asya sukr;atum
agn;im-agni.m h;aviimabhi.h s;adaa havanta vi;sp;atim havyav;aaham purupriy;am	agn;im-agnim h;aviimabhi.h s;adaa havanta vi;sp;atim havyav;aaham purupriy;am
;agne dev;aa;m ih;aa vaha jaj;naan;o v.rkt;abarhi.se ;asi h;otaa na ;ii.dya.h	;agne dev;aan ih;a ;aa vaha jaj;naan;a.h v.rkt;abarhi.se ;asi h;otaa na.h ;ii.dya.h
t;aa;m u;sat;o v;i bodhaya y;ad agne y;aasi duuty:am deva;ir ;aa satsi barh;i.si	t;aan u;sat;a.h v;i bodhaya y;at agne y;aasi duuty:am deva;i.h ;aa satsi barh;i.si
gh;.rtaahavana diidiva.h pr;ati .sma r;i.sato daha ;agne tv;a.m rak.sasv;ina.h	gh;.rtaahavana diidiva.h pr;ati sma r;i.sata.h daha ;agne tv;am rak.sasv;ina.h
